State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Oklahoma,11/4/2020,"54,481",4/4/2020,"88,330","1,568,967",5.63,,,
Oklahoma,4/4/2020,"60,534",28/3/2020,"55,029","1,565,634",3.51,,,
Oklahoma,28/3/2020,"47,744",21/3/2020,"25,268","1,565,634",1.61,,,
Oklahoma,21/3/2020,"21,926",14/3/2020,"16,854","1,565,634",1.08,,,
Oklahoma,14/3/2020,"1,836",7/3/2020,"16,482","1,565,634",1.05,,,
Oklahoma,7/3/2020,"1,569",29/2/2020,"17,067","1,565,634",1.09,,,
Oklahoma,29/2/2020,"1,458",22/2/2020,"16,929","1,565,634",1.08,,,
Oklahoma,22/2/2020,"1,509",15/2/2020,"17,269","1,565,634",1.1,,,
Oklahoma,15/2/2020,"1,633",8/2/2020,"17,513","1,565,634",1.12,,,
Oklahoma,8/2/2020,"1,715",1/2/2020,"17,757","1,565,634",1.13,,,
Oklahoma,1/2/2020,"1,779",25/1/2020,"17,451","1,565,634",1.11,,,
Oklahoma,25/1/2020,"1,830",18/1/2020,"17,291","1,565,634",1.1,,,
Oklahoma,18/1/2020,"1,981",11/1/2020,"17,467","1,565,634",1.12,,,
Oklahoma,11/1/2020,"2,034",4/1/2020,"19,387","1,565,634",1.24,,,
Oklahoma,4/1/2020,"2,943",28/12/2019,"18,080","1,560,077",1.16,,,
Oklahoma,28/12/2019,"2,158",21/12/2019,"16,735","1,560,077",1.07,,,
Oklahoma,21/12/2019,"2,124",14/12/2019,"16,444","1,560,077",1.05,,,
Oklahoma,14/12/2019,"1,955",7/12/2019,"16,289","1,560,077",1.04,,,
Oklahoma,7/12/2019,"1,971",30/11/2019,"17,751","1,560,077",1.14,,,
Oklahoma,30/11/2019,"2,922",23/11/2019,"15,576","1,560,077",1,,,
Oklahoma,23/11/2019,"2,111",16/11/2019,"16,394","1,560,077",1.05,,,
Oklahoma,16/11/2019,"2,800",9/11/2019,"14,943","1,560,077",0.96,,,
Oklahoma,9/11/2019,"1,840",2/11/2019,"15,187","1,560,077",0.97,,,
Oklahoma,2/11/2019,"1,750",26/10/2019,"15,061","1,560,077",0.97,,,
Oklahoma,26/10/2019,"1,674",19/10/2019,"14,912","1,560,077",0.96,,,
Oklahoma,19/10/2019,"1,622",12/10/2019,"15,535","1,560,077",1,,,
Oklahoma,12/10/2019,"2,674",5/10/2019,"14,579","1,560,077",0.93,,,
Oklahoma,5/10/2019,"1,692",28/9/2019,"14,545","1,555,668",0.93,,,
Oklahoma,28/9/2019,"1,623",21/9/2019,"14,386","1,555,668",0.92,,,
Oklahoma,21/9/2019,"1,660",14/9/2019,"14,395","1,555,668",0.93,,,
Oklahoma,14/9/2019,"1,519",7/9/2019,"14,351","1,555,668",0.92,,,
Oklahoma,7/9/2019,"1,452",31/8/2019,"14,211","1,555,668",0.91,,,
Oklahoma,31/8/2019,"1,424",24/8/2019,"14,283","1,555,668",0.92,,,
Oklahoma,24/8/2019,"1,624",17/8/2019,"14,468","1,555,668",0.93,,,
Oklahoma,17/8/2019,"1,599",10/8/2019,"14,707","1,555,668",0.95,,,
Oklahoma,10/8/2019,"1,611",3/8/2019,"15,188","1,555,668",0.98,,,
Oklahoma,3/8/2019,"1,558",27/7/2019,"14,900","1,555,668",0.96,,,
Oklahoma,27/7/2019,"1,507",20/7/2019,"15,072","1,555,668",0.97,,,
Oklahoma,20/7/2019,"1,838",13/7/2019,"15,232","1,555,668",0.98,,,
Oklahoma,13/7/2019,"2,000",6/7/2019,"15,233","1,555,668",0.98,,,
Oklahoma,6/7/2019,"2,011",29/6/2019,"14,638","1,549,332",0.94,,,
Oklahoma,29/6/2019,"1,821",22/6/2019,"14,544","1,549,332",0.94,,,
Oklahoma,22/6/2019,"1,691",15/6/2019,"14,364","1,549,332",0.93,,,
Oklahoma,15/6/2019,"1,820",8/6/2019,"14,550","1,549,332",0.94,,,
Oklahoma,8/6/2019,"1,933",1/6/2019,"14,199","1,549,332",0.92,,,
Oklahoma,1/6/2019,"2,144",25/5/2019,"13,404","1,549,332",0.87,,,
Oklahoma,25/5/2019,"1,722",18/5/2019,"13,191","1,549,332",0.85,,,
Oklahoma,18/5/2019,"1,730",11/5/2019,"13,508","1,549,332",0.87,,,
Oklahoma,11/5/2019,"1,729",4/5/2019,"13,560","1,549,332",0.88,,,
Oklahoma,4/5/2019,"1,992",27/4/2019,"13,792","1,549,332",0.89,,,
Oklahoma,27/4/2019,"2,010",20/4/2019,"13,576","1,549,332",0.88,,,
Oklahoma,20/4/2019,"2,037",13/4/2019,"13,531","1,549,332",0.87,,,
Oklahoma,13/4/2019,"1,824",6/4/2019,"13,448","1,549,332",0.87,,,
Oklahoma,6/4/2019,"2,024",30/3/2019,"13,647","1,544,089",0.88,,,
Oklahoma,30/3/2019,"1,706",23/3/2019,"13,558","1,544,089",0.88,,,
Oklahoma,23/3/2019,"1,572",16/3/2019,"14,217","1,544,089",0.92,,,
Oklahoma,16/3/2019,"2,669",9/3/2019,"13,527","1,544,089",0.88,,,
Oklahoma,9/3/2019,"1,623",2/3/2019,"13,858","1,544,089",0.9,,,
Oklahoma,2/3/2019,"1,776",23/2/2019,"14,064","1,544,089",0.91,,,
Oklahoma,23/2/2019,"1,901",16/2/2019,"13,797","1,544,089",0.89,,,
Oklahoma,16/2/2019,"1,746",9/2/2019,"14,380","1,544,089",0.93,,,
Oklahoma,9/2/2019,"1,958",2/2/2019,"14,393","1,544,089",0.93,,,
Oklahoma,2/2/2019,"2,010",26/1/2019,"14,496","1,544,089",0.94,,,
Oklahoma,26/1/2019,"2,258",19/1/2019,"14,668","1,544,089",0.95,,,
Oklahoma,19/1/2019,"2,449",12/1/2019,"14,559","1,544,089",0.94,,,
Oklahoma,12/1/2019,"2,579",5/1/2019,"15,339","1,544,089",0.99,,,
Oklahoma,5/1/2019,"2,630",29/12/2018,"14,109","1,539,605",0.92,,,
Oklahoma,29/12/2018,"1,899",22/12/2018,"12,975","1,539,605",0.84,,,
Oklahoma,22/12/2018,"1,756",15/12/2018,"12,707","1,539,605",0.83,,,
Oklahoma,15/12/2018,"1,545",8/12/2018,"12,468","1,539,605",0.81,,,
Oklahoma,8/12/2018,"1,640",1/12/2018,"12,451","1,539,605",0.81,,,
Oklahoma,1/12/2018,"1,670",24/11/2018,"13,552","1,539,605",0.88,,,
Oklahoma,24/11/2018,"2,483",17/11/2018,"11,831","1,539,605",0.77,,,
Oklahoma,17/11/2018,"1,457",10/11/2018,"11,747","1,539,605",0.76,,,
Oklahoma,10/11/2018,"1,486",3/11/2018,"12,527","1,539,605",0.81,,,
Oklahoma,3/11/2018,"2,317",27/10/2018,"11,711","1,539,605",0.76,,,
Oklahoma,27/10/2018,"1,250",20/10/2018,"11,788","1,539,605",0.77,,,
Oklahoma,20/10/2018,"1,254",13/10/2018,"11,675","1,539,605",0.76,,,
Oklahoma,13/10/2018,"1,409",6/10/2018,"11,466","1,539,605",0.74,,,
Oklahoma,6/10/2018,"1,247",29/9/2018,"11,600","1,530,521",0.76,,,
Oklahoma,29/9/2018,"1,118",22/9/2018,"11,092","1,530,521",0.72,,,
Oklahoma,22/9/2018,"1,216",15/9/2018,"11,759","1,530,521",0.77,,,
Oklahoma,15/9/2018,"1,174",8/9/2018,"11,952","1,530,521",0.78,,,
Oklahoma,8/9/2018,"1,190",1/9/2018,"12,069","1,530,521",0.79,,,
Oklahoma,1/9/2018,"1,112",25/8/2018,"11,787","1,530,521",0.77,,,
Oklahoma,25/8/2018,"1,248",18/8/2018,"12,263","1,530,521",0.8,,,
Oklahoma,18/8/2018,"1,159",11/8/2018,"12,601","1,530,521",0.82,,,
Oklahoma,11/8/2018,"1,171",4/8/2018,"12,913","1,530,521",0.84,,,
Oklahoma,4/8/2018,"1,181",28/7/2018,"13,066","1,530,521",0.85,,,
Oklahoma,28/7/2018,"1,158",21/7/2018,"13,322","1,530,521",0.87,,,
Oklahoma,21/7/2018,"1,239",14/7/2018,"13,468","1,530,521",0.88,,,
Oklahoma,14/7/2018,"1,385",7/7/2018,"13,961","1,530,521",0.91,,,
Oklahoma,7/7/2018,"1,621",30/6/2018,"13,409","1,525,474",0.88,,,
Oklahoma,30/6/2018,"1,230",23/6/2018,"13,420","1,525,474",0.88,,,
Oklahoma,23/6/2018,"1,350",16/6/2018,"13,430","1,525,474",0.88,,,
Oklahoma,16/6/2018,"1,160",9/6/2018,"13,586","1,525,474",0.89,,,
Oklahoma,9/6/2018,"1,425",2/6/2018,"13,643","1,525,474",0.89,,,
Oklahoma,2/6/2018,"1,459",26/5/2018,"13,141","1,525,474",0.86,,,
Oklahoma,26/5/2018,"1,465",19/5/2018,"13,170","1,525,474",0.86,,,
Oklahoma,19/5/2018,"1,464",12/5/2018,"12,914","1,525,474",0.85,,,
Oklahoma,12/5/2018,"1,328",5/5/2018,"13,088","1,525,474",0.86,,,
Oklahoma,5/5/2018,"1,308",28/4/2018,"12,962","1,525,474",0.85,,,
Oklahoma,28/4/2018,"1,256",21/4/2018,"13,098","1,525,474",0.86,,,
Oklahoma,21/4/2018,"1,339",14/4/2018,"13,433","1,525,474",0.88,,,
Oklahoma,14/4/2018,"1,520",7/4/2018,"13,540","1,525,474",0.89,,,
Oklahoma,7/4/2018,"1,608",31/3/2018,"13,490","1,521,663",0.89,,,
Oklahoma,31/3/2018,"1,253",24/3/2018,"13,827","1,521,663",0.91,,,
Oklahoma,24/3/2018,"1,493",17/3/2018,"13,582","1,521,663",0.89,,,
Oklahoma,17/3/2018,"1,251",10/3/2018,"13,980","1,521,663",0.92,,,
Oklahoma,10/3/2018,"1,419",3/3/2018,"14,347","1,521,663",0.94,,,
Oklahoma,3/3/2018,"1,335",24/2/2018,"14,345","1,521,663",0.94,,,
Oklahoma,24/2/2018,"1,115",17/2/2018,"14,363","1,521,663",0.94,,,
Oklahoma,17/2/2018,"1,279",10/2/2018,"14,864","1,521,663",0.98,,,
Oklahoma,10/2/2018,"1,502",3/2/2018,"15,000","1,521,663",0.99,,,
Oklahoma,3/2/2018,"1,590",27/1/2018,"14,835","1,521,663",0.97,,,
Oklahoma,27/1/2018,"1,563",20/1/2018,"14,857","1,521,663",0.98,,,
Oklahoma,20/1/2018,"1,472",13/1/2018,"15,024","1,521,663",0.99,,,
Oklahoma,13/1/2018,"1,838",6/1/2018,"15,347","1,521,663",1.01,,,
Oklahoma,6/1/2018,"1,656",30/12/2017,"16,011","1,520,283",1.05,,,
Oklahoma,30/12/2017,"1,475",23/12/2017,"15,782","1,520,283",1.04,,,
Oklahoma,23/12/2017,"3,212",16/12/2017,"14,591","1,520,283",0.96,,,
Oklahoma,16/12/2017,"1,378",9/12/2017,"14,157","1,520,283",0.93,,,
Oklahoma,9/12/2017,"1,767",2/12/2017,"14,496","1,520,283",0.95,,,
Oklahoma,2/12/2017,"1,628",25/11/2017,"15,160","1,520,283",1,,,
Oklahoma,25/11/2017,"1,687",18/11/2017,"13,853","1,520,283",0.91,,,
Oklahoma,18/11/2017,"1,704",11/11/2017,"13,916","1,520,283",0.92,,,
Oklahoma,11/11/2017,"1,359",4/11/2017,"14,822","1,520,283",0.97,,,
Oklahoma,4/11/2017,"2,613",28/10/2017,"13,756","1,520,283",0.9,,,
Oklahoma,28/10/2017,"1,303",21/10/2017,"13,850","1,520,283",0.91,,,
Oklahoma,21/10/2017,"1,407",14/10/2017,"13,876","1,520,283",0.91,,,
Oklahoma,14/10/2017,"1,396",7/10/2017,"13,970","1,520,283",0.92,,,
Oklahoma,7/10/2017,"1,588",30/9/2017,"13,966","1,526,275",0.92,,,
Oklahoma,30/9/2017,"1,496",23/9/2017,"13,975","1,526,275",0.92,,,
Oklahoma,23/9/2017,986,16/9/2017,"14,293","1,526,275",0.94,,,
Oklahoma,16/9/2017,"1,157",9/9/2017,"14,533","1,526,275",0.95,,,
Oklahoma,9/9/2017,"1,525",2/9/2017,"14,845","1,526,275",0.97,,,
Oklahoma,2/9/2017,"1,862",26/8/2017,"14,582","1,526,275",0.96,,,
Oklahoma,26/8/2017,"1,445",19/8/2017,"14,717","1,526,275",0.96,,,
Oklahoma,19/8/2017,"1,530",12/8/2017,"15,091","1,526,275",0.99,,,
Oklahoma,12/8/2017,"1,354",5/8/2017,"15,513","1,526,275",1.02,,,
Oklahoma,5/8/2017,"1,575",29/7/2017,"15,482","1,526,275",1.01,,,
Oklahoma,29/7/2017,"1,478",22/7/2017,"15,491","1,526,275",1.01,,,
Oklahoma,22/7/2017,"1,414",15/7/2017,"15,828","1,526,275",1.04,,,
Oklahoma,15/7/2017,"1,457",8/7/2017,"15,993","1,526,275",1.05,,,
Oklahoma,8/7/2017,"1,721",1/7/2017,"15,682","1,526,275",1.03,,,
Oklahoma,1/7/2017,"1,472",24/6/2017,"15,559","1,531,755",1.02,,,
Oklahoma,24/6/2017,"1,446",17/6/2017,"15,782","1,531,755",1.03,,,
Oklahoma,17/6/2017,"1,575",10/6/2017,"15,604","1,531,755",1.02,,,
Oklahoma,10/6/2017,"1,587",3/6/2017,"15,837","1,531,755",1.03,,,
Oklahoma,3/6/2017,"1,624",27/5/2017,"15,022","1,531,755",0.98,,,
Oklahoma,27/5/2017,"1,647",20/5/2017,"14,954","1,531,755",0.98,,,
Oklahoma,20/5/2017,"1,688",13/5/2017,"14,921","1,531,755",0.97,,,
Oklahoma,13/5/2017,"1,543",6/5/2017,"14,693","1,531,755",0.96,,,
Oklahoma,6/5/2017,"1,440",29/4/2017,"14,990","1,531,755",0.98,,,
Oklahoma,29/4/2017,"1,429",22/4/2017,"14,831","1,531,755",0.97,,,
Oklahoma,22/4/2017,"1,418",15/4/2017,"14,958","1,531,755",0.98,,,
Oklahoma,15/4/2017,"1,361",8/4/2017,"15,189","1,531,755",0.99,,,
Oklahoma,8/4/2017,"1,602",1/4/2017,"15,417","1,531,755",1.01,,,
Oklahoma,1/4/2017,"1,470",25/3/2017,"15,467","1,537,675",1.01,,,
Oklahoma,25/3/2017,"1,481",18/3/2017,"15,967","1,537,675",1.04,,,
Oklahoma,18/3/2017,"1,784",11/3/2017,"16,066","1,537,675",1.04,,,
Oklahoma,11/3/2017,"1,271",4/3/2017,"16,579","1,537,675",1.08,,,
Oklahoma,4/3/2017,"1,234",25/2/2017,"16,436","1,537,675",1.07,,,
Oklahoma,25/2/2017,"1,245",18/2/2017,"17,061","1,537,675",1.11,,,
Oklahoma,18/2/2017,"1,435",11/2/2017,"17,737","1,537,675",1.15,,,
Oklahoma,11/2/2017,"1,611",4/2/2017,"18,178","1,537,675",1.18,,,
Oklahoma,4/2/2017,"1,744",28/1/2017,"18,351","1,537,675",1.19,,,
Oklahoma,28/1/2017,"1,740",21/1/2017,"18,484","1,537,675",1.2,,,
Oklahoma,21/1/2017,"1,803",14/1/2017,"18,661","1,537,675",1.21,,,
Oklahoma,14/1/2017,"1,923",7/1/2017,"19,324","1,537,675",1.26,,,
Oklahoma,7/1/2017,"1,883",31/12/2016,"20,423","1,542,437",1.32,,,
Oklahoma,31/12/2016,"2,448",24/12/2016,"19,243","1,542,437",1.25,,,
Oklahoma,24/12/2016,"2,131",17/12/2016,"19,091","1,542,437",1.24,,,
Oklahoma,17/12/2016,"1,693",10/12/2016,"19,013","1,542,437",1.23,,,
Oklahoma,10/12/2016,"1,739",3/12/2016,"19,410","1,542,437",1.26,,,
Oklahoma,3/12/2016,"1,793",26/11/2016,"20,010","1,542,437",1.3,,,
Oklahoma,26/11/2016,"1,530",19/11/2016,"19,952","1,542,437",1.29,,,
Oklahoma,19/11/2016,"3,001",12/11/2016,"19,286","1,542,437",1.25,,,
Oklahoma,12/11/2016,"1,503",5/11/2016,"20,206","1,542,437",1.31,,,
Oklahoma,5/11/2016,"2,900",29/10/2016,"19,107","1,542,437",1.24,,,
Oklahoma,29/10/2016,"1,619",22/10/2016,"19,258","1,542,437",1.25,,,
Oklahoma,22/10/2016,"1,784",15/10/2016,"19,247","1,542,437",1.25,,,
Oklahoma,15/10/2016,"1,532",8/10/2016,"19,624","1,542,437",1.27,,,
Oklahoma,8/10/2016,"1,925",1/10/2016,"19,788","1,542,437",1.28,,,
Oklahoma,1/10/2016,"1,585",24/9/2016,"20,113","1,546,142",1.3,,,
Oklahoma,24/9/2016,"1,536",17/9/2016,"19,640","1,546,142",1.27,,,
Oklahoma,17/9/2016,"1,571",10/9/2016,"21,204","1,546,142",1.37,,,
Oklahoma,10/9/2016,"2,197",3/9/2016,"21,083","1,546,142",1.36,,,
Oklahoma,3/9/2016,"1,763",27/8/2016,"21,589","1,546,142",1.4,,,
Oklahoma,27/8/2016,"1,686",20/8/2016,"22,081","1,546,142",1.43,,,
Oklahoma,20/8/2016,"1,822",13/8/2016,"23,516","1,546,142",1.52,,,
Oklahoma,13/8/2016,"2,366",6/8/2016,"22,994","1,546,142",1.49,,,
Oklahoma,6/8/2016,"1,999",30/7/2016,"23,586","1,546,142",1.53,,,
Oklahoma,30/7/2016,"1,547",23/7/2016,"23,753","1,546,142",1.54,,,
Oklahoma,23/7/2016,"1,743",16/7/2016,"24,488","1,546,142",1.58,,,
Oklahoma,16/7/2016,"1,924",9/7/2016,"24,662","1,546,142",1.6,,,
Oklahoma,9/7/2016,"2,116",2/7/2016,"24,454","1,547,515",1.58,,,
Oklahoma,2/7/2016,"1,807",25/6/2016,"24,650","1,547,515",1.59,,,
Oklahoma,25/6/2016,"1,903",18/6/2016,"24,639","1,547,515",1.59,,,
Oklahoma,18/6/2016,"1,739",11/6/2016,"24,646","1,547,515",1.59,,,
Oklahoma,11/6/2016,"1,797",4/6/2016,"25,128","1,547,515",1.62,,,
Oklahoma,4/6/2016,"2,246",28/5/2016,"24,070","1,547,515",1.56,,,
Oklahoma,28/5/2016,"2,212",21/5/2016,"23,866","1,547,515",1.54,,,
Oklahoma,21/5/2016,"2,175",14/5/2016,"23,686","1,547,515",1.53,,,
Oklahoma,14/5/2016,"2,005",7/5/2016,"23,613","1,547,515",1.53,,,
Oklahoma,7/5/2016,"2,046",30/4/2016,"23,788","1,547,515",1.54,,,
Oklahoma,30/4/2016,"1,813",23/4/2016,"23,586","1,547,515",1.52,,,
Oklahoma,23/4/2016,"2,041",16/4/2016,"23,463","1,547,515",1.52,,,
Oklahoma,16/4/2016,"1,848",9/4/2016,"23,404","1,547,515",1.51,,,
Oklahoma,9/4/2016,"2,184",2/4/2016,"23,477","1,547,515",1.52,,,
Oklahoma,2/4/2016,"1,956",26/3/2016,"23,421","1,545,400",1.52,,,
Oklahoma,26/3/2016,"1,907",19/3/2016,"23,648","1,545,400",1.53,,,
Oklahoma,19/3/2016,"2,420",12/3/2016,"23,207","1,545,400",1.5,,,
Oklahoma,12/3/2016,"2,251",5/3/2016,"23,268","1,545,400",1.51,,,
Oklahoma,5/3/2016,"1,933",27/2/2016,"22,617","1,545,400",1.46,,,
Oklahoma,27/2/2016,"2,283",20/2/2016,"23,263","1,545,400",1.51,,,
Oklahoma,20/2/2016,"2,346",13/2/2016,"22,841","1,545,400",1.48,,,
Oklahoma,13/2/2016,"1,941",6/2/2016,"22,624","1,545,400",1.46,,,
Oklahoma,6/2/2016,"2,456",30/1/2016,"22,819","1,545,400",1.48,,,
Oklahoma,30/1/2016,"2,278",23/1/2016,"22,440","1,545,400",1.45,,,
Oklahoma,23/1/2016,"1,912",16/1/2016,"22,199","1,545,400",1.44,,,
Oklahoma,16/1/2016,"2,151",9/1/2016,"22,363","1,545,400",1.45,,,
Oklahoma,9/1/2016,"2,569",2/1/2016,"23,925","1,546,400",1.55,,,
Oklahoma,2/1/2016,"3,010",26/12/2015,"21,495","1,541,383",1.39,,,
Oklahoma,26/12/2015,"2,826",19/12/2015,"21,494","1,541,383",1.39,,,
Oklahoma,19/12/2015,"2,099",12/12/2015,"21,449","1,541,383",1.39,,,
Oklahoma,12/12/2015,"1,743",5/12/2015,"21,849","1,541,383",1.42,,,
Oklahoma,5/12/2015,"1,995",28/11/2015,"22,729","1,541,383",1.47,,,
Oklahoma,28/11/2015,"1,496",21/11/2015,"21,187","1,541,383",1.37,,,
Oklahoma,21/11/2015,"3,001",14/11/2015,"21,140","1,541,383",1.37,,,
Oklahoma,14/11/2015,"1,659",7/11/2015,"21,969","1,541,383",1.43,,,
Oklahoma,7/11/2015,"3,342",31/10/2015,"21,050","1,541,383",1.37,,,
Oklahoma,31/10/2015,"1,801",24/10/2015,"20,865","1,541,383",1.35,,,
Oklahoma,24/10/2015,"2,070",17/10/2015,"21,022","1,541,383",1.36,,,
Oklahoma,17/10/2015,"2,012",10/10/2015,"20,786","1,541,383",1.35,,,
Oklahoma,10/10/2015,"2,122",3/10/2015,"20,801","1,541,383",1.35,,,
Oklahoma,3/10/2015,"1,830",26/9/2015,"20,680","1,533,434",1.35,,,
Oklahoma,26/9/2015,"1,711",19/9/2015,"20,819","1,533,434",1.36,,,
Oklahoma,19/9/2015,"1,770",12/9/2015,"21,244","1,533,434",1.39,,,
Oklahoma,12/9/2015,"1,756",5/9/2015,"21,494","1,533,434",1.4,,,
Oklahoma,5/9/2015,"2,001",29/8/2015,"21,803","1,533,434",1.42,,,
Oklahoma,29/8/2015,"1,996",22/8/2015,"21,803","1,533,434",1.42,,,
Oklahoma,22/8/2015,"1,779",15/8/2015,"22,160","1,533,434",1.45,,,
Oklahoma,15/8/2015,"1,725",8/8/2015,"22,516","1,533,434",1.47,,,
Oklahoma,8/8/2015,"1,739",1/8/2015,"23,103","1,533,434",1.51,,,
Oklahoma,1/8/2015,"1,583",25/7/2015,"23,242","1,533,434",1.52,,,
Oklahoma,25/7/2015,"1,610",18/7/2015,"23,546","1,533,434",1.54,,,
Oklahoma,18/7/2015,"1,784",11/7/2015,"23,611","1,533,434",1.54,,,
Oklahoma,11/7/2015,"2,233",4/7/2015,"23,809","1,533,434",1.55,,,
Oklahoma,4/7/2015,"1,593",27/6/2015,"23,490","1,526,723",1.54,,,
Oklahoma,27/6/2015,"1,774",20/6/2015,"23,840","1,526,723",1.56,,,
Oklahoma,20/6/2015,"1,824",13/6/2015,"23,529","1,526,723",1.54,,,
Oklahoma,13/6/2015,"1,799",6/6/2015,"23,645","1,526,723",1.55,,,
Oklahoma,6/6/2015,"2,254",30/5/2015,"23,454","1,526,723",1.54,,,
Oklahoma,30/5/2015,"2,149",23/5/2015,"22,701","1,526,723",1.49,,,
Oklahoma,23/5/2015,"2,018",16/5/2015,"22,381","1,526,723",1.47,,,
Oklahoma,16/5/2015,"2,139",9/5/2015,"21,779","1,526,723",1.43,,,
Oklahoma,9/5/2015,"2,063",2/5/2015,"21,732","1,526,723",1.42,,,
Oklahoma,2/5/2015,"1,954",25/4/2015,"21,268","1,526,723",1.39,,,
Oklahoma,25/4/2015,"2,024",18/4/2015,"20,819","1,526,723",1.36,,,
Oklahoma,18/4/2015,"2,066",11/4/2015,"20,408","1,526,723",1.34,,,
Oklahoma,11/4/2015,"2,113",4/4/2015,"20,167","1,526,723",1.32,,,
Oklahoma,4/4/2015,"2,099",28/3/2015,"19,472","1,520,727",1.28,,,
Oklahoma,28/3/2015,"1,965",21/3/2015,"19,756","1,520,727",1.3,,,
Oklahoma,21/3/2015,"2,491",14/3/2015,"18,947","1,520,727",1.25,,,
Oklahoma,14/3/2015,"2,062",7/3/2015,"18,785","1,520,727",1.24,,,
Oklahoma,7/3/2015,"2,030",28/2/2015,"18,782","1,520,727",1.24,,,
Oklahoma,28/2/2015,"2,014",21/2/2015,"18,068","1,520,727",1.19,,,
Oklahoma,21/2/2015,"2,091",14/2/2015,"17,772","1,520,727",1.17,,,
Oklahoma,14/2/2015,"2,921",7/2/2015,"17,082","1,520,727",1.12,,,
Oklahoma,7/2/2015,"2,247",31/1/2015,"16,948","1,520,727",1.11,,,
Oklahoma,31/1/2015,"1,954",24/1/2015,"16,316","1,520,727",1.07,,,
Oklahoma,24/1/2015,"1,791",17/1/2015,"17,136","1,520,727",1.13,,,
Oklahoma,17/1/2015,"2,034",10/1/2015,"17,206","1,520,727",1.13,,,
Oklahoma,10/1/2015,"2,317",3/1/2015,"17,903","1,520,727",1.18,,,
Oklahoma,3/1/2015,"2,988",27/12/2014,"16,260","1,516,120",1.07,,,
Oklahoma,27/12/2014,"2,191",20/12/2014,"15,088","1,516,120",1,,,
Oklahoma,20/12/2014,"2,073",13/12/2014,"14,866","1,516,120",0.98,,,
Oklahoma,13/12/2014,"1,589",6/12/2014,"14,971","1,516,120",0.99,,,
Oklahoma,6/12/2014,"1,755",29/11/2014,"15,377","1,516,120",1.01,,,
Oklahoma,29/11/2014,"1,428",22/11/2014,"14,682","1,516,120",0.97,,,
Oklahoma,22/11/2014,"1,577",15/11/2014,"14,800","1,516,120",0.98,,,
Oklahoma,15/11/2014,"1,416",8/11/2014,"14,632","1,516,120",0.97,,,
Oklahoma,8/11/2014,"1,638",1/11/2014,"14,708","1,516,120",0.97,,,
Oklahoma,1/11/2014,"1,631",25/10/2014,"14,615","1,516,120",0.96,,,
Oklahoma,25/10/2014,"1,482",18/10/2014,"14,615","1,516,120",0.96,,,
Oklahoma,18/10/2014,"1,593",11/10/2014,"14,594","1,516,120",0.96,,,
Oklahoma,11/10/2014,"1,746",4/10/2014,"14,629","1,516,120",0.96,,,
Oklahoma,4/10/2014,"1,426",27/9/2014,"14,738","1,511,463",0.98,,,
Oklahoma,27/9/2014,"1,617",20/9/2014,"15,032","1,511,463",0.99,,,
Oklahoma,20/9/2014,"1,490",13/9/2014,"15,032","1,511,463",0.99,,,
Oklahoma,13/9/2014,"1,532",6/9/2014,"15,563","1,511,463",1.03,,,
Oklahoma,6/9/2014,"1,725",30/8/2014,"15,297","1,511,463",1.01,,,
Oklahoma,30/8/2014,"1,460",23/8/2014,"15,628","1,511,463",1.03,,,
Oklahoma,23/8/2014,"1,452",16/8/2014,"16,017","1,511,463",1.06,,,
Oklahoma,16/8/2014,"1,425",9/8/2014,"16,312","1,511,463",1.08,,,
Oklahoma,9/8/2014,"1,519",2/8/2014,"16,921","1,511,463",1.12,,,
Oklahoma,2/8/2014,"1,557",26/7/2014,"16,993","1,511,463",1.12,,,
Oklahoma,26/7/2014,"1,425",19/7/2014,"17,178","1,511,463",1.14,,,
Oklahoma,19/7/2014,"1,514",12/7/2014,"17,520","1,511,463",1.16,,,
Oklahoma,12/7/2014,"1,960",5/7/2014,"17,582","1,511,463",1.16,,,
Oklahoma,5/7/2014,"1,498",28/6/2014,"16,717","1,505,911",1.11,,,
Oklahoma,28/6/2014,"1,942",21/6/2014,"16,842","1,505,911",1.12,,,
Oklahoma,21/6/2014,"1,490",14/6/2014,"16,899","1,505,911",1.12,,,
Oklahoma,14/6/2014,"1,624",7/6/2014,"16,624","1,505,911",1.1,,,
Oklahoma,7/6/2014,"1,831",31/5/2014,"16,643","1,505,911",1.11,,,
Oklahoma,31/5/2014,"1,588",24/5/2014,"16,110","1,505,911",1.07,,,
Oklahoma,24/5/2014,"1,643",17/5/2014,"16,169","1,505,911",1.07,,,
Oklahoma,17/5/2014,"1,703",10/5/2014,"16,006","1,505,911",1.06,,,
Oklahoma,10/5/2014,"1,614",3/5/2014,"16,265","1,505,911",1.08,,,
Oklahoma,3/5/2014,"1,514",26/4/2014,"15,977","1,505,911",1.06,,,
Oklahoma,26/4/2014,"1,504",19/4/2014,"16,172","1,505,911",1.07,,,
Oklahoma,19/4/2014,"1,516",12/4/2014,"16,218","1,505,911",1.08,,,
Oklahoma,12/4/2014,"1,666",5/4/2014,"16,770","1,505,911",1.11,,,
Oklahoma,5/4/2014,"1,615",29/3/2014,"16,760","1,498,853",1.12,,,
